meter_id,timestamp,consumption,voltage,current,meter_type
MH01,2019-05-01,5.252,222.48,0.984,residential
MH01,2019-05-02,4.77,219.31,0.906,residential
MH01,2019-05-03,5.169,223.24,0.965,residential
MH01,2019-05-04,5.41,227.62,0.99,residential
MH01,2019-05-05,6.688,218.83,1.273,residential
MH01,2019-05-06,4.577,218.83,0.871,residential
MH01,2019-05-07,4.614,227.9,0.844,residential
MH01,2019-05-08,6.326,223.84,1.178,residential
MH01,2019-05-09,5.32,217.65,1.018,residential
MH01,2019-05-10,5.592,222.71,1.046,residential
MH01,2019-05-11,6.254,217.68,1.197,residential
MH01,2019-05-12,5.569,217.67,1.066,residential
MH01,2019-05-13,5.178,221.21,0.975,residential
MH01,2019-05-14,4.853,210.43,0.961,residential
MH01,2019-05-15,4.572,211.38,0.901,residential
MH01,2019-05-16,3.713,217.19,0.712,residential
MH01,2019-05-17,4.823,214.94,0.935,residential
MH01,2019-05-18,3.652,221.57,0.687,residential
MH01,2019-05-19,5.415,215.46,1.047,residential
MH01,2019-05-20,5.103,212.94,0.999,residential
MH01,2019-05-21,6.235,227.33,1.143,residential
MH01,2019-05-22,6.488,218.87,1.235,residential
MH01,2019-05-23,5.37,220.34,1.015,residential
MH01,2019-05-24,4.814,212.88,0.942,residential
MH01,2019-05-25,5.661,217.28,1.086,residential
MH01,2019-05-26,5.803,220.55,1.096,residential
MH01,2019-05-27,6.324,214.25,1.23,residential
MH01,2019-05-28,6.779,221.88,1.273,residential
MH01,2019-05-29,6.218,217.0,1.194,residential
MH01,2019-05-30,6.942,218.54,1.324,residential
MH01,2019-05-31,7.339,216.99,1.409,residential
MH01,2019-06-01,2.437,229.26,0.443,residential
MH01,2019-06-02,8.985,219.93,1.702,residential
MH01,2019-06-03,7.663,214.71,1.487,residential
MH01,2019-06-04,4.847,224.11,0.901,residential
MH01,2019-06-05,4.5,213.9,0.877,residential
MH01,2019-06-06,6.524,221.04,1.23,residential
MH01,2019-06-07,5.955,210.2,1.18,residential
MH01,2019-06-08,5.657,213.36,1.105,residential
MH01,2019-06-09,5.269,220.98,0.993,residential
MH01,2019-06-10,5.881,223.69,1.095,residential
MH01,2019-06-11,5.766,220.86,1.088,residential
MH01,2019-06-12,5.195,219.42,0.987,residential
MH01,2019-06-13,4.674,218.49,0.891,residential
MH01,2019-06-14,5.749,212.61,1.127,residential
MH01,2019-06-15,6.191,216.4,1.192,residential
MH01,2019-06-16,4.247,217.7,0.813,residential
MH01,2019-06-17,5.478,225.29,1.013,residential
MH01,2019-06-18,4.225,221.72,0.794,residential
MH01,2019-06-19,3.069,211.18,0.606,residential
MH01,2019-06-20,3.589,221.62,0.675,residential
MH01,2019-06-21,5.92,218.07,1.131,residential
MH01,2019-06-22,5.807,216.62,1.117,residential
MH01,2019-06-23,6.449,223.06,1.205,residential
MH01,2019-06-24,5.536,225.15,1.025,residential
MH01,2019-06-25,5.833,224.66,1.082,residential
MH01,2019-06-26,6.442,215.8,1.244,residential
MH01,2019-06-27,5.631,218.45,1.074,residential
MH01,2019-06-28,5.668,221.66,1.065,residential
MH01,2019-06-29,5.985,224.88,1.109,residential
MH01,2019-06-30,6.508,217.6,1.246,residential
MH01,2019-07-01,5.46,219.07,1.038,residential
MH01,2019-07-02,5.223,214.47,1.015,residential
MH01,2019-07-03,5.237,214.02,1.02,residential
MH01,2019-07-04,5.974,224.06,1.111,residential
MH01,2019-07-05,0.016,226.78,0.003,residential
MH01,2019-07-06,3.801,219.64,0.721,residential
MH01,2019-07-07,8.043,225.02,1.489,residential
MH01,2019-07-08,5.099,221.81,0.958,residential
MH01,2019-07-09,4.25,216.77,0.817,residential
MH01,2019-07-10,7.355,221.81,1.382,residential
MH01,2019-07-11,7.146,227.69,1.308,residential
MH01,2019-07-12,6.911,219.82,1.31,residential
MH01,2019-07-13,7.505,227.82,1.373,residential
MH01,2019-07-14,8.379,206.9,1.687,residential
MH01,2019-07-15,8.825,224.11,1.641,residential
MH01,2019-07-16,7.792,220.44,1.473,residential
MH01,2019-07-17,6.288,218.5,1.199,residential
MH01,2019-07-18,7.444,220.46,1.407,residential
MH01,2019-07-19,5.626,210.06,1.116,residential
MH01,2019-07-20,8.111,218.9,1.544,residential
MH01,2019-07-21,7.007,221.79,1.316,residential
MH01,2019-07-22,6.204,227.39,1.137,residential
MH01,2019-07-23,8.888,217.41,1.703,residential
MH01,2019-07-24,8.656,215.96,1.67,residential
MH01,2019-07-25,5.979,217.49,1.145,residential
MH01,2019-07-26,5.18,224.58,0.961,residential
MH01,2019-07-27,5.021,221.64,0.944,residential
MH01,2019-07-28,6.175,217.35,1.184,residential
MH01,2019-07-29,6.844,222.57,1.281,residential
MH01,2019-07-30,7.829,220.49,1.479,residential
MH01,2019-07-31,7.751,224.84,1.436,residential
MH01,2019-08-01,7.507,216.49,1.445,residential
MH01,2019-08-02,8.143,218.36,1.554,residential
MH01,2019-08-03,7.462,218.04,1.426,residential
MH01,2019-08-04,6.913,212.68,1.354,residential
MH01,2019-08-05,8.571,221.48,1.612,residential
MH01,2019-08-06,7.541,221.31,1.42,residential
MH01,2019-08-07,6.063,220.03,1.148,residential
MH01,2019-08-08,6.619,218.83,1.26,residential
