meter,Date,t_kWh
MH01,2019-05-01,5.251999999999993
MH01,2019-05-02,4.769999999999991
MH01,2019-05-03,5.168999999999989
MH01,2019-05-04,5.409999999999985
MH01,2019-05-05,6.687999999999989
MH01,2019-05-06,4.576999999999985
MH01,2019-05-07,4.6139999999999946
MH01,2019-05-08,6.325999999999978
MH01,2019-05-09,5.319999999999985
MH01,2019-05-10,5.591999999999995
MH01,2019-05-11,6.253999999999981
MH01,2019-05-12,5.568999999999966
MH01,2019-05-13,5.177999999999989
MH01,2019-05-14,4.852999999999985
MH01,2019-05-15,4.571999999999988
MH01,2019-05-16,3.712999999999984
MH01,2019-05-17,4.822999999999984
MH01,2019-05-18,3.6519999999999926
MH01,2019-05-19,5.414999999999993
MH01,2019-05-20,5.1029999999999776
MH01,2019-05-21,6.23499999999997
MH01,2019-05-22,6.487999999999978
MH01,2019-05-23,5.369999999999981
MH01,2019-05-24,4.813999999999986
MH01,2019-05-25,5.660999999999977
MH01,2019-05-26,5.802999999999987
MH01,2019-05-27,6.323999999999977
MH01,2019-05-28,6.778999999999991
MH01,2019-05-29,6.2179999999999795
MH01,2019-05-30,6.941999999999967
MH01,2019-05-31,7.338999999999969
MH01,2019-06-01,2.436999999999991
MH01,2019-06-02,8.984999999999987
MH01,2019-06-03,7.6629999999999745
MH01,2019-06-04,4.846999999999977
MH01,2019-06-05,4.499999999999978
MH01,2019-06-06,6.523999999999996
MH01,2019-06-07,5.95499999999999
MH01,2019-06-08,5.656999999999986
MH01,2019-06-09,5.268999999999992
MH01,2019-06-10,5.880999999999979
MH01,2019-06-11,5.765999999999976
MH01,2019-06-12,5.194999999999983
MH01,2019-06-13,4.67399999999999
MH01,2019-06-14,5.748999999999982
MH01,2019-06-15,6.190999999999976
MH01,2019-06-16,4.2469999999999875
MH01,2019-06-17,5.477999999999989
MH01,2019-06-18,4.224999999999984
MH01,2019-06-19,3.0689999999999933
MH01,2019-06-20,3.5889999999999946
MH01,2019-06-21,5.919999999999985
MH01,2019-06-22,5.806999999999985
MH01,2019-06-23,6.44899999999997
MH01,2019-06-24,5.53599999999997
MH01,2019-06-25,5.832999999999973
MH01,2019-06-26,6.441999999999973
MH01,2019-06-27,5.630999999999988
MH01,2019-06-28,5.667999999999976
MH01,2019-06-29,5.984999999999989
MH01,2019-06-30,6.507999999999982
MH01,2019-07-01,5.459999999999988
MH01,2019-07-02,5.222999999999982
MH01,2019-07-03,5.236999999999981
MH01,2019-07-04,5.973999999999989
MH01,2019-07-05,0.016
MH01,2019-07-06,3.800999999999994
MH01,2019-07-07,8.042999999999981
MH01,2019-07-08,5.098999999999989
MH01,2019-07-09,4.24999999999999
MH01,2019-07-10,7.35499999999999
MH01,2019-07-11,7.145999999999975
MH01,2019-07-12,6.910999999999982
MH01,2019-07-13,7.50499999999999
MH01,2019-07-14,8.378999999999994
MH01,2019-07-15,8.824999999999974
MH01,2019-07-16,7.79199999999998
MH01,2019-07-17,6.287999999999988
MH01,2019-07-18,7.443999999999979
MH01,2019-07-19,5.625999999999988
MH01,2019-07-20,8.11099999999998
MH01,2019-07-21,7.006999999999989
MH01,2019-07-22,6.203999999999989
MH01,2019-07-23,8.887999999999987
MH01,2019-07-24,8.655999999999992
MH01,2019-07-25,5.978999999999966
MH01,2019-07-26,5.179999999999968
MH01,2019-07-27,5.021
MH01,2019-07-28,6.174999999999982
MH01,2019-07-29,6.843999999999981
MH01,2019-07-30,7.828999999999975
MH01,2019-07-31,7.75099999999999
MH01,2019-08-01,7.506999999999988
MH01,2019-08-02,8.142999999999997
MH01,2019-08-03,7.461999999999993
MH01,2019-08-04,6.912999999999992
MH01,2019-08-05,8.571000000000002
MH01,2019-08-06,7.540999999999984
MH01,2019-08-07,6.062999999999979
MH01,2019-08-08,6.618999999999987
MH01,2019-08-09,7.433999999999987
MH01,2019-08-10,5.774999999999993
MH01,2019-08-11,8.405999999999967
MH01,2019-08-12,6.893999999999978
MH01,2019-08-13,9.853999999999965
